feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
-0.75864166,1.6644355,-1.3585856,1.0394131,0.5,0.4105501,-0.49195692,0.39120933,0.73994404,-0.43507725
1.6225798,-0.62926775,0.5025054,-0.6443015,1.0,-0.23106948,1.3280569,0.58178174,1.6797473,-0.31167588
0.86755836,1.0457126,-0.9747481,-0.6443015,0.0,1.3931812,-0.9727645,-0.016223118,0.34210604,-1.3290076
-0.7199226,-0.86191076,0.42864636,0.057246294,1.0,0.8393491,0.40662202,1.1568338,1.9172591,-0.742328
-1.0587143,0.6046643,0.5351074,-0.36368236,0.5,0.8728244,-0.17262913,0.397397,-1.5255717,0.5269814
0.073817864,0.87514126,-1.1973624,-0.5039919,0.5,-0.9661567,0.6386771,-0.74745566,-1.1541634,0.0075601805
-1.5523821,0.30966043,-1.5126967,0.8991036,0.5,-0.079388425,-0.06357354,-0.28050205,0.8552015,0.9429386
-0.75864166,-0.11658277,0.98914766,-0.08306325,0.0,-0.30046594,-1.4509279,-1.4028661,0.2642902,0.18125395
-0.57472616,-0.32181597,-0.1270346,-0.5039919,1.0,-1.0056014,0.07557637,-0.10813899,1.3137822,-0.35245374
0.32549167,-0.5381718,-1.5237758,-0.784611,0.0,0.3601642,1.0488641,1.1121006,-0.015471641,2.1482968
1.4483441,1.4568117,1.7337235,0.057246294,0.0,-0.53764576,-0.029216405,0.6852901,-0.8679754,-0.09390357
-0.9038381,1.1169863,-1.5251086,-0.08306325,0.5,0.65540385,0.77511513,1.4020094,-0.21359324,1.163001
-0.7876809,1.5787718,0.69102365,-1.7667779,1.0,-1.0701916,-1.0455295,-0.30288523,-1.532684,-0.4012092
1.7290572,-1.3097333,1.6948179,-0.784611,0.5,1.7190406,-0.026260793,1.3460999,-1.1285907,0.7095995
-0.28433332,0.77426744,-0.89426917,-1.2055396,0.0,-0.8963327,-0.62451047,-0.19330423,0.972444,0.92801565
-0.48760834,1.4870849,-1.2313578,0.8991036,0.5,0.21930234,0.74698085,1.471585,0.8727874,0.20849197
-0.30369285,-1.1141181,-1.3039165,-1.2055396,1.0,0.7918593,0.031491563,-0.021856748,0.3630043,-2.354483
1.2353894,-1.5083207,-0.6713707,0.47817495,0.5,-0.57064044,0.69007367,0.7072314,-1.7210776,0.01825246
0.74172145,0.8094944,-1.3746483,0.6184845,1.0,0.85246867,1.0877104,1.4751123,-0.35840356,1.23046
1.574181,0.23694143,0.6810293,-0.36368236,1.0,-1.2291836,0.69161856,-0.19342762,-1.2249999,0.52748084
1.0901929,1.1554985,-1.5094202,-0.6443015,0.5,1.4521177,0.27311844,0.21838899,1.1765332,0.44583887
0.10285715,-1.2565651,0.04553103,1.4603418,0.0,0.014149265,-0.9982123,1.2888634,-0.5837221,-1.7222569
0.92563695,0.99552673,1.7400894,-1.9070873,0.5,-0.5964114,-0.0027861106,-0.13300316,-1.0857477,-0.72045505
-0.19721547,-1.0440494,1.104635,-0.08306325,0.0,-0.29918176,-0.5330904,-1.3208923,0.029796164,0.41135764
1.2837881,-1.1745081,0.41345432,2.4425087,0.0,0.80891925,-0.34406397,2.143007,-0.6401545,0.41038328
-1.5427024,-1.1724128,-0.6610127,-0.784611,0.5,-0.5844553,-0.37453416,-0.46976447,1.4837439,1.2146667
0.69332266,1.0618614,0.44362757,0.6184845,0.0,-0.7493577,-0.9799256,0.15875605,-0.7348109,-0.14486675
0.5287667,0.54864335,0.10680446,-0.6443015,0.0,-0.22153659,-1.9573386,1.1560067,-1.3992282,0.4058241
1.5838608,0.060319416,-0.2442898,-0.08306325,0.5,-1.1769621,-0.66814303,-0.6084939,-2.1529136,0.016374242
-1.2813488,-0.5039445,-1.2714862,-0.08306325,0.5,1.8205439,0.19337945,-1.0078679,-0.030786503,-0.9869427
-1.1845512,1.2770257,1.3572285,-1.0652301,0.5,-0.56639457,-1.3481771,0.2537373,-0.5619301,-2.2557914
-0.11009761,-0.38845438,-0.16186571,-0.92492056,0.0,0.83161676,0.015682237,-1.7930764,-1.4289047,0.43100968
0.0641381,1.0688177,-1.0492238,-0.6443015,1.0,0.20947008,1.9002684,-0.28790608,1.1892265,0.17394722
0.86755836,-0.22804166,-0.44711888,0.33786538,0.0,-0.984534,1.0230565,0.24503866,0.66724515,-0.618175
0.08349763,-0.44171023,-0.28586003,-0.92492056,1.0,-0.0059547094,1.6435415,-0.2699519,-0.028217878,-1.619173
-0.0616988,-0.14714825,1.1518182,2.5828183,0.5,0.7840028,0.39112788,-1.543451,1.3643262,0.6297395
-1.2619892,-0.70133513,0.82518744,-1.0652301,1.0,-0.18826133,1.1675098,1.594178,0.662536,-0.26592007
1.7677763,0.83178777,0.9493056,0.758794,0.5,1.193113,-0.72396475,0.103538156,-0.8228559,0.55687475
-1.2232703,-0.009580264,-1.6876851,0.47817495,0.5,1.0215154,-0.6443403,1.4311521,-1.0392202,1.8640485
0.60620475,-0.9389668,-0.27882048,-1.0652301,1.0,0.91891485,-2.7391403,-0.26003626,0.81798154,-2.1414309
1.3418667,1.3538964,-0.05211362,0.8991036,0.5,-0.45965677,1.1861454,-0.880012,0.39636695,-0.6996008
-0.48760834,-0.41784307,-1.6593041,-0.36368236,1.0,-1.0798424,1.540324,0.26918092,0.16974777,-0.20937562
1.2160298,0.13070835,-0.82251495,-0.784611,0.5,-0.6135876,-0.55317724,-0.21578713,-0.8464978,1.4548261
-0.4488893,1.3775944,0.91795456,-0.784611,0.0,0.19624095,-0.2539517,-1.1777614,0.6079476,-1.636403
-1.5523821,0.40791923,-1.2492317,1.1797227,0.0,0.54578674,-0.75386214,1.4697843,-0.7554989,1.935861
1.4289845,-1.3351548,0.13555977,-1.4861587,0.5,-2.1715715,0.38265356,-0.6222702,-0.101986654,0.1358559
-0.1391369,1.4922098,-0.9776564,0.47817495,0.5,-0.008113202,1.1249325,-1.8402663,1.4469441,-0.096000664
0.8965976,0.41984135,-1.6838962,-0.6443015,1.0,0.15808922,-1.742772,1.328166,-0.66083425,-0.19805977
-0.8941583,-0.5861435,-0.88723963,-0.36368236,0.0,-0.27754426,0.40943852,-0.50429803,-1.5729892,-0.43626302
1.3031477,-1.258284,1.6676744,2.3021991,1.0,1.2912738,-0.27667177,-0.6078239,-1.0525472,1.0481168
-1.6201404,0.9912591,1.0613972,-0.36368236,0.5,0.42178008,0.113394395,-1.7653875,0.9942988,-1.0685208
0.5868452,0.39360866,1.6109992,-0.784611,0.5,1.3101919,0.458994,1.7409415,0.25473115,0.3454142
0.8094798,0.096035935,-0.02947466,-0.36368236,1.0,-0.21596052,-0.18820244,-1.2894806,-0.12887737,-0.38418168
1.5935405,1.3343748,-1.3444264,-0.784611,0.5,0.93747747,-0.10358685,0.05844948,-0.5090938,-0.7621334
-1.2426298,0.9726102,0.17954949,1.7409608,0.0,1.6350664,-0.21387517,0.9126203,0.4853599,2.5859752
1.5354619,-1.2156715,-0.14589408,0.057246294,1.0,1.3116934,0.97031623,0.42171693,-0.8491048,0.41905072
-0.86511904,-0.6657955,1.2103089,-2.4683256,0.0,-1.0921416,0.41875997,-0.05965431,0.30566558,0.6132656
0.79980004,-0.8830456,-1.3849533,0.33786538,0.0,-0.2536761,0.22058354,-1.7016659,-0.7312546,1.1377767
-1.4168655,0.8192025,-0.028128497,0.33786538,0.0,-0.34516472,-1.2709517,-0.8097248,-0.89765936,-1.42135
0.23837382,-1.621575,-1.2042348,0.8991036,1.0,0.48925453,-0.37857974,0.18780033,-0.6374874,1.7522919
-0.9715964,0.22119409,-0.59694684,-0.36368236,0.5,0.68635356,0.8986692,-0.78717405,-0.37540746,-2.5089571
-1.271669,0.8828057,0.83820313,-0.2233728,0.0,-0.8388927,0.037696574,0.20335945,-0.048829835,-0.7687664
1.7290572,1.2755315,-0.07063553,-0.08306325,0.0,0.06783851,0.6595315,0.6817434,0.2354558,-0.45903167
-1.7362976,-0.5614884,-0.4188495,-0.92492056,0.0,-2.0199273,1.7665118,0.9625029,-3.6883652,0.5817234
-1.23295,1.0848209,-0.35420743,-0.92492056,0.5,1.441945,1.038606,-1.2261794,-0.80765057,0.21871826
-0.7296024,-1.356684,-0.12826449,1.3200322,0.5,-0.5123742,0.093158334,2.196646,-0.39156997,-0.16681474
0.761081,1.1713835,1.0039449,-1.7667779,1.0,0.05586394,-0.5109892,0.76747936,1.505062,-0.011997345
1.245069,-1.2987684,1.3762876,2.02158,0.5,-0.3096497,-2.5535495,-0.0017141537,-1.0800027,-0.97802305
0.093177386,-0.37181804,1.5962473,-0.2233728,1.0,1.1460276,-0.16838492,1.0895365,0.16279662,-1.4972324
0.35453096,1.0024945,1.0105065,1.1797227,1.0,-2.8375065,-0.3260125,2.3654077,1.4950303,0.7265116
-1.3297477,-1.2217096,-0.629181,0.6184845,1.0,-0.016610343,0.3903662,-1.4387201,-1.3129685,0.6937061
-0.1875357,-0.94914097,0.6670262,0.47817495,1.0,-0.105818756,-0.15390523,-0.22526264,0.39397523,1.5844944
0.19965477,0.7446691,-0.20422848,1.3200322,1.0,-0.45363638,-0.32038507,-2.3784316,-0.80227184,-0.79001707
0.85787857,0.7370554,-0.84039897,-0.6443015,0.0,1.7262266,-1.7793989,0.19265154,-0.5046337,0.6928152
1.6419393,0.46601588,1.1981876,-2.6086352,0.5,-0.88732946,-0.9399678,0.36539423,-0.80311084,-0.28370672
1.1869905,0.6474243,-1.5924152,0.8991036,0.0,0.77179617,0.47665104,-0.039162114,-0.7318573,1.190475
0.86755836,0.12786214,1.4099417,-0.2233728,1.0,0.3562528,1.7159076,-0.65453357,2.7219121,1.0219628
0.32549167,-0.8716737,-0.12120249,-0.784611,0.5,1.2615192,-0.09752538,-2.0495145,0.8444559,0.2112094
0.68364286,-0.5490709,0.48989958,-0.5039919,0.0,-0.66718906,0.32781106,0.3735337,1.1017379,-0.33953017
0.08349763,-1.1128653,0.56693745,2.8634372,0.0,-0.7329689,0.9524782,1.4554344,0.4919935,0.9609322
1.1095524,1.3843918,1.3868355,0.47817495,1.0,1.0960699,-0.81089395,-0.59101844,-1.6062568,0.6469045
0.30613214,0.26758346,0.4880502,1.1797227,0.0,0.4253213,0.36681405,0.44005993,0.39495796,-0.6844404
0.25773335,-0.3595727,0.4089826,-0.5039919,0.0,-1.5449374,-0.7404901,-1.5681443,1.0729296,-1.3277987
0.5384464,-0.14946386,-1.494257,0.758794,0.0,-0.53930503,0.8648244,0.45721307,-0.85339946,-0.2885329
1.5161024,1.51781,0.07678059,-0.92492056,0.0,0.38638264,0.15140305,-0.3933823,0.96532667,1.5154138
-1.2426298,-1.2099115,-1.2038163,1.6006514,0.0,0.8377642,0.2984518,-0.762418,0.7043362,1.1464871
0.9546762,0.27733412,0.8384698,-0.2233728,1.0,-0.67923063,-0.7825986,-0.76036364,1.85204,-1.1123275
0.3448512,0.0013050637,0.055267654,0.47817495,1.0,-2.914256,0.7070324,-0.39361158,-0.41778302,-1.1677574
0.68364286,0.3639979,0.6395289,0.19755584,0.0,0.52322316,2.084713,0.38243333,-1.097611,1.2746838
0.0641381,-1.6745614,-1.581125,-1.0652301,1.0,-1.2203207,-1.0079117,-1.3121632,-0.36162812,-1.1356359
-1.358787,1.2595838,-1.4311728,-2.328016,1.0,-2.0173388,-0.33975902,-0.39711532,1.435571,0.50929534
-0.23593451,1.4657072,0.76505584,0.33786538,0.5,-2.832326,0.23160747,-0.04147178,-1.8284059,-0.6160712
-1.6104608,0.20485212,-1.4753654,0.758794,0.0,0.8139809,0.7864062,-1.0990392,-2.0683758,1.6170449
1.1579512,0.65670884,-1.4782436,-1.4861587,1.0,0.12861745,-0.5595463,1.7966652,0.08939528,-0.7704248
-1.1264726,1.4326595,-1.683939,0.057246294,1.0,-0.22565638,-2.8330302,-0.8534955,-0.44258928,1.1433616
1.5838608,0.6930855,1.6003047,1.8812704,0.0,1.3890244,1.3591895,-0.66943693,0.007727893,0.18485865
1.409625,-1.2127025,0.8387292,0.6184845,0.5,0.6373247,0.7605061,-0.97830796,0.9453118,0.25219485
-1.6685393,0.2431781,-0.49757203,-0.08306325,0.0,1.6163,-1.7429476,1.79848,-0.5525693,-1.9703085
1.574181,0.34771544,-0.69480836,0.6184845,0.5,-1.3927355,-0.6075688,0.5529052,-1.8730059,-2.2029133
-0.50696784,-0.27959192,-0.5099113,1.3200322,0.0,-0.034550622,1.5681825,-0.936592,2.0444815,-0.22056594
-0.43920952,0.7934275,0.9679062,1.0394131,0.0,-1.6167134,1.4477965,1.1062316,-0.99722826,0.24690606
-1.1458322,1.4734333,0.57395077,-0.36368236,0.0,-0.22938234,0.93864,0.20069869,-1.0590371,-1.1251978
-0.41017023,1.443204,-1.082007,0.6184845,0.0,-0.24861586,-0.17611243,0.2572534,1.1037201,-1.0886934
-0.9715964,-0.1878285,-1.1205609,0.19755584,0.5,0.6266136,0.08298742,-0.3444772,-0.38448912,0.56147265
-0.17785595,-1.3477294,-1.3838645,0.057246294,0.5,0.04556388,-0.1309258,-0.749416,-0.06338985,0.56285447
1.0417941,1.646848,0.57023704,-1.0652301,1.0,0.6234071,1.1282398,0.3377661,0.4827901,-0.13774106
0.7707607,1.1454295,0.93215317,0.758794,0.0,0.7034401,-0.8758424,-0.5450872,1.0835831,0.78020173
0.48036787,-1.3084776,-0.8043158,-0.784611,0.5,2.1549287,-0.80579966,1.8167557,-0.3334607,-1.1742023
-1.358787,1.4269648,-1.653209,1.0394131,0.5,-0.31529665,1.0102745,-1.2692912,1.519952,-0.35593492
-1.4846238,1.2519306,-1.4402854,2.8634372,0.5,-0.9410227,-0.044361457,1.5361568,-2.1358,1.6478776
-0.4488893,0.045795396,1.6398058,0.057246294,0.0,0.24608362,1.3784673,-0.11131885,0.75978726,0.06832213
0.18997501,0.29466936,-0.6986018,1.3200322,1.0,-0.80228,-0.6715122,0.29908574,-0.83952755,0.12631251
1.4193047,-0.36592436,0.94902134,1.0394131,0.5,1.4819608,-0.05477836,0.8331578,1.3722713,2.3059466
0.83851904,-1.5486375,0.44629744,-0.2233728,0.0,-0.28321803,-0.922413,-0.6302493,0.14204448,-1.3993422
-1.436225,-0.58514154,-0.39780515,1.3200322,0.5,-0.5655764,0.0073626814,0.8642484,-0.6729053,0.79643035
-1.2910286,1.0215905,-1.0107447,-0.5039919,0.5,-0.4713157,-1.478547,-2.7075438,0.6628411,1.6639863
-1.1555119,-1.7208685,-1.3039113,1.3200322,1.0,0.7184174,-0.4876334,-0.71998954,0.89318836,-0.32485792
0.33517143,-0.59097564,0.4127363,1.0394131,0.5,-0.15774699,-1.4362539,-0.9240628,0.6418941,0.85963076
1.0805131,-0.3687898,0.96783745,0.47817495,0.5,-0.6416668,0.69392323,-1.2535061,-1.0296962,-0.9820195
-0.7973607,0.109553784,0.51320934,-0.6443015,0.0,1.6653519,0.71658933,-0.21495484,-0.48401713,-0.6867324
-0.09073809,1.4235762,0.11814384,-0.36368236,0.0,-0.8561698,-1.7302628,0.38574997,-0.004072837,0.3849664
1.7290572,-0.5468376,-1.580157,-0.5039919,1.0,0.035566073,1.3338858,0.70266,-0.041259654,0.7985667
0.3158119,-0.54475147,1.6419923,-0.2233728,0.0,0.65230614,2.497415,0.24087676,0.7497455,1.1209365
-1.4168655,0.7970591,1.0515801,0.8991036,0.0,-1.6313351,0.046006385,-0.66569346,-2.0149012,1.5696286
0.4416488,-0.18309213,-0.70772266,-0.08306325,1.0,0.4802605,-0.64111423,0.36901644,0.33432704,-0.06744656
-0.7780012,-0.96510524,1.6819208,-0.5039919,0.5,-1.0551077,2.8243306,0.1242857,-0.28998137,1.1936117
-0.48760834,-0.18233086,0.3670703,-0.36368236,1.0,0.82278275,-1.3189685,0.9360562,-0.8385006,-0.34230486
0.73204166,-1.2528386,0.29939944,0.47817495,0.0,-0.962651,0.020106466,0.7769367,-0.7424868,0.9020913
-1.7072583,-1.1307678,0.8754697,0.47817495,1.0,0.69276905,0.17962228,0.030476414,-0.21453767,0.2074888
0.35453096,-0.024534604,1.0969826,-0.2233728,0.5,1.105833,1.3451476,-0.897253,-3.6010852,0.4456779
0.7126821,-0.29747555,0.5569382,-1.4861587,1.0,0.86143655,0.35973898,-0.65295017,-0.7012896,0.42350787
1.7193774,1.4063643,-1.2805789,-0.6443015,0.0,0.25131664,-0.4986339,-0.54978937,-0.8758148,-1.604705
0.9837155,-0.49170166,-0.5496804,0.057246294,0.0,-0.23130095,-0.9511844,-0.31526634,0.5327832,-1.1241219
0.24805358,0.25795162,1.5014784,3.1440563,1.0,-0.5764196,-0.34182182,0.26805043,-0.8055267,0.10254144
-1.6104608,0.43549526,-0.944919,-0.2233728,0.5,1.4710346,-1.0069274,0.7151744,-0.2151138,-1.6872791
1.5935405,-1.6917939,-0.43179065,0.6184845,1.0,-0.6994952,0.04782532,-0.051118694,1.5422766,0.8312111
-1.3491071,0.54294056,-0.22344667,-0.36368236,0.5,-1.0370661,-0.56419617,0.016124789,0.9943515,0.871556
-0.022979755,-1.1251024,-0.19796227,-0.6443015,0.5,0.6653689,-1.4940377,0.1433063,0.9022714,0.32717055
-1.1458322,1.565178,0.40552583,0.057246294,1.0,-0.7961368,1.2551458,-0.5159053,-0.49987242,-1.121134
1.6516191,-1.2260205,1.5536157,-0.6443015,0.5,-0.9500635,-0.49767253,-0.92539227,0.5430323,1.380139
0.48036787,-0.31225365,-0.8890089,-1.7667779,0.0,-1.4436042,-1.2681369,-1.7554379,-0.2338978,2.0372107
0.5771655,-1.4435458,-1.3035115,2.3021991,1.0,-0.48290983,-0.16825913,-0.69514936,-0.19609322,0.14707683
-1.2523096,1.6881901,-1.0393195,-1.4861587,0.5,-0.08271503,0.068371564,0.47314546,0.40968534,0.51053536
-0.8264,-0.011385318,1.3583438,0.47817495,0.0,0.24309173,-1.7464668,-0.70291144,-0.59699357,0.20173866
0.39325002,0.30878872,0.5198396,-0.6443015,1.0,0.9513062,0.33164766,-0.23780704,1.4930031,0.53036916
0.48036787,-1.5063273,-0.7317713,2.8634372,0.0,0.5268979,-1.0471575,0.4664313,-0.16013014,-0.11955876
0.5384464,0.83986545,1.1115091,0.6184845,0.0,-0.19087222,1.7110288,0.5206895,0.6183606,-0.034564238
-0.3714512,-1.0156076,1.2694734,0.33786538,0.0,-0.19819568,0.52396053,-1.0795329,1.4556005,0.9057176
-0.10041785,1.3486731,1.217811,-0.6443015,0.5,0.51015747,-0.3999,0.99705935,1.0316538,2.3456242
-1.474944,-1.0319821,1.4696335,-1.4861587,1.0,1.2725701,-0.7451678,1.1273501,-1.4089191,-1.4000713
-1.4071857,-1.0816346,-0.8488482,2.1618896,1.0,0.1263142,-0.104967706,-1.1298499,0.4448959,-0.103812486
-1.6298202,-1.6112086,0.8997044,1.4603418,0.5,-0.46913084,0.61279076,-0.82383686,0.8507194,-1.1804605
-0.20689523,-0.11489667,-0.124464385,0.33786538,1.0,-0.992866,-0.025494128,1.1910907,0.89186305,1.5920249
1.409625,0.20384872,1.2021068,0.6184845,0.0,-1.4452052,-0.21715881,-0.14685352,-1.1132948,-0.587738
0.054458342,-1.5110267,0.8073691,-0.784611,1.0,0.66626966,0.058370292,-2.219778,-0.65703523,-1.4432008
0.596525,0.9277068,0.9741447,2.4425087,0.5,0.57797855,-0.60385895,-1.3996814,0.9945582,0.638187
-0.9231976,-0.17941286,0.55583656,1.1797227,0.0,0.57736355,-0.34320593,-0.24936962,-0.76176035,1.7443111
0.99339527,0.0648712,-1.1090171,-1.4861587,0.5,-0.12865944,-2.0857925,-1.1630427,-0.29969606,0.6635979
-1.1167928,-0.22244889,0.16935112,-0.08306325,0.0,1.4069347,0.9737262,-0.41342378,1.5758758,0.20479788
-0.11009761,-0.35987628,1.6982636,-0.08306325,0.0,-0.4841185,0.2987978,0.032396212,-0.047799252,0.4091409
-1.3200679,0.18598026,1.5338358,-0.08306325,1.0,0.9552692,-0.77345586,1.4622546,-0.72677416,1.4148407
-1.1555119,-1.203422,-1.5759057,0.33786538,0.0,-0.038742896,1.8987349,-0.2904539,-0.87761736,-0.8741993
-0.45856905,-1.1117301,-1.1528836,-0.784611,0.5,-0.60835075,0.08701648,1.0725418,0.33271933,-0.1118471
0.99339527,1.2240645,-1.2679445,-1.4861587,1.0,0.5925303,-1.0361435,1.4287602,-1.333148,-0.45269015
-1.4846238,1.5137975,0.7986376,1.4603418,0.5,0.4096361,0.85673743,1.4343097,-0.24733597,-1.1678653
-0.71024287,-0.45419943,1.1179024,-0.92492056,0.0,0.35697275,0.39804822,0.2847546,0.33323053,-0.32837525
-1.3297477,-0.80658203,-0.9835354,-0.784611,0.5,0.08127842,0.39457998,-1.9632891,1.2991499,1.1077211
1.5354619,0.47581422,0.033117875,-0.08306325,0.5,-0.037893083,-0.4257556,0.46082488,0.66754806,0.5666022
1.0127548,-0.33248985,1.1976014,0.33786538,0.0,2.388372,0.45049572,1.0483999,-0.71406513,0.6443105
1.4483441,-1.6495625,0.8223607,1.1797227,1.0,1.1842567,-0.2617583,-0.08106711,1.1784194,0.14647561
-0.51664764,-1.2002873,0.15964954,0.19755584,0.5,0.7228269,0.55594146,1.7445838,-0.29951504,0.5233238
1.6129,0.72309166,0.32695973,0.33786538,0.0,0.11179916,-1.9049444,0.85983354,-1.235703,-0.80059034
0.48036787,0.52709013,0.04183925,0.758794,1.0,1.0071572,-0.43387347,0.56827337,-0.17204136,-0.30950987
0.08349763,-1.6436887,-0.69128597,-1.7667779,1.0,0.51799476,1.7221551,1.0863807,1.4381692,0.19200423
0.42228928,-0.9741503,0.23888646,1.7409608,1.0,0.026204754,-0.76706743,0.33336985,0.16524005,0.27751586
0.9837155,-0.9428763,0.6696365,0.19755584,0.5,-0.30356434,-0.6038383,-2.4928105,0.012521864,0.32018787
-0.58440596,0.5716472,1.3110412,-0.36368236,0.5,-0.080917336,-0.44796133,-0.49913895,1.6372117,-0.13833529
-0.63280475,-1.669063,0.4867345,0.47817495,0.5,-3.1704257,-1.2148061,1.197168,-1.4313549,-0.3774234
0.4997274,-1.3790957,0.920847,-0.08306325,1.0,0.21060084,-2.2082808,-0.8075913,-1.2855991,3.1577713
0.7514012,1.0114986,-1.1693786,-0.784611,0.5,-0.48847607,-0.2305864,-0.2234725,-1.6158465,0.9067873
1.7193774,-1.1233547,-0.12092425,-0.2233728,0.0,1.59267,0.13585943,-1.0448363,0.37264818,0.41314748
0.16093573,0.5058649,-1.6935958,-0.6443015,0.5,0.01934407,-0.05250507,1.7839226,0.16649313,-0.23320849
-0.42952976,-0.9184553,-0.8681913,0.057246294,0.5,-1.1889634,-0.14487857,1.6814924,1.5427364,-0.4512188
1.3225071,-1.3951308,0.8003131,0.057246294,1.0,-0.049880154,0.04304087,-0.8838689,0.24347508,-0.13080059
-0.15849642,-0.9013131,1.7230946,-1.4861587,0.5,-1.0461211,1.0228415,0.147298,-0.40415716,0.29282886
0.42228928,0.74471843,-1.3811436,-0.2233728,0.0,0.47340742,-0.19044618,-0.68049407,0.0017948729,-1.8804356
1.2160298,1.2031438,-0.32980135,-0.6443015,1.0,0.29094738,-0.57408255,0.61494464,0.11770742,-1.5693896
0.50940716,1.1156136,1.0562985,-1.0652301,0.0,0.9578396,-0.2811255,0.5096831,-1.6717613,-0.63688236
-0.09073809,-0.37217453,-1.0164884,-0.92492056,1.0,-0.7908818,0.5793468,0.8117056,2.7103317,0.20713943
-0.28433332,0.5585654,0.20432916,0.6184845,1.0,0.034008097,1.4120269,0.33191845,0.519871,-0.23927315
1.2934679,-1.0325158,0.82329875,-0.6443015,0.5,-1.3650218,-0.6281437,2.9354062,0.21000831,1.4781213
-0.20689523,-0.7296116,0.4161182,-0.784611,0.0,0.70149475,0.098933786,-1.0279238,0.615164,-1.4823968
-0.8264,1.342769,-1.0721684,0.19755584,1.0,0.5188712,0.33835745,-1.7106034,0.70941097,-0.75134546
0.4997274,-1.6921118,-0.4901537,-0.36368236,0.5,0.49580503,-0.992578,-0.3930902,-0.14055349,1.5200918
-0.013299993,-1.4430001,0.9996856,0.8991036,1.0,0.0016190313,0.020417167,-1.5679883,-0.63124114,0.13111933
-0.661844,-1.0225455,0.20134385,-0.5039919,1.0,0.4147729,-1.4656738,-1.4924623,0.5994507,0.8848426
1.3225071,-1.6456257,-1.7078611,0.057246294,1.0,1.6043391,-1.7690504,-1.0013146,0.38571084,2.051247
-1.2523096,-1.1134229,0.92039216,1.3200322,1.0,-0.28509426,0.3667464,-0.9221889,-0.8098901,-0.69380444
